columna_id,nivel,tipo_seccion,b_m,h_m,altura_H_m,carga_axial_Pu_kN,fc_kg_cm2,cuantia_inicial,area_seccion_m2,volumen_inicial_m3,encofrado_inicial_m2,acero_inicial_kg,costo_inicial_usd,co2_inicial_kg,b_opt_m,h_opt_m,cuantia_opt,area_opt_m2,volumen_opt_m3,encofrado_opt_m2,acero_opt_kg,costo_opt_usd,co2_opt_kg,phi_Pn_capacidad_kN,ahorro_volumen_m3,porc_ahorro_volumen,ahorro_costo_usd,porc_ahorro_costo,ahorro_co2_kg,cemento_bolsas,arena_m3,piedra_m3,agua_m3,co2_concreto_kg
C-101,Piso 1,rectangular,0.6,0.6,3.2,1650.0,280,0.025,0.36,1.152,7.68,324.99,698.08,1057.3,0.3,0.4,0.01,0.12,0.384,4.48,43.33,186.96,235.44,1703.9,0.768,66.67,511.12,73.22,821.86,5.1,0.17,0.2,0.07,157.4
C-102,Piso 1,rectangular,0.55,0.7,3.2,2100.0,280,0.025,0.385,1.232,8.0,347.56,742.61,1130.73,0.3,0.5,0.01,0.15,0.48,5.12,54.16,224.83,294.3,2129.9,0.752,61.04,517.78,69.72,836.43,6.4,0.22,0.24,0.09,196.8
C-103,Piso 1,rectangular,0.5,0.5,3.2,1200.0,280,0.02,0.25,0.8,6.4,180.55,448.09,652.99,0.25,0.35,0.01,0.0875,0.28,3.84,31.6,146.94,171.67,1242.4,0.52,65.0,301.15,67.21,481.32,3.7,0.13,0.14,0.05,114.8
C-104,Piso 1,circular,0.6,0.6,3.2,1400.0,280,0.02,0.2827,0.905,6.03,204.2,484.46,738.51,0.35,0.35,0.01,0.0962,0.308,3.52,34.74,148.55,188.76,1674.8,0.597,65.97,335.91,69.34,549.75,4.1,0.14,0.16,0.06,126.3
C-201,Piso 2,rectangular,0.55,0.55,3.0,1250.0,210,0.025,0.3025,0.908,6.6,256.01,541.94,778.45,0.3,0.4,0.01,0.12,0.36,4.2,40.62,168.08,199.12,1343.5,0.548,60.35,373.86,68.99,579.33,3.5,0.19,0.19,0.07,126.0
C-202,Piso 2,rectangular,0.5,0.65,3.0,1600.0,210,0.025,0.325,0.975,6.9,275.06,578.72,836.35,0.35,0.4,0.012,0.14,0.42,4.5,56.87,200.54,249.37,1626.0,0.555,56.92,378.18,65.35,586.98,4.1,0.22,0.22,0.08,147.0
C-203,Piso 2,rectangular,0.45,0.45,3.0,850.0,210,0.02,0.2025,0.608,5.4,137.11,338.11,459.41,0.25,0.3,0.012,0.075,0.225,3.3,30.47,123.88,133.59,871.1,0.383,62.99,214.23,63.36,325.82,2.2,0.12,0.12,0.04,78.8
C-204,Piso 2,circular,0.55,0.55,3.0,1050.0,210,0.02,0.2376,0.713,5.18,160.86,375.37,539.01,0.3,0.3,0.016,0.0707,0.212,2.83,38.29,123.49,143.14,1079.0,0.501,70.27,251.88,67.1,395.87,2.1,0.11,0.11,0.04,74.2
C-301,Piso 3,rectangular,0.5,0.5,2.8,800.0,210,0.02,0.25,0.7,5.6,157.98,378.08,529.37,0.25,0.3,0.01,0.075,0.21,3.08,23.7,109.7,116.15,839.7,0.49,70.0,268.38,70.98,413.22,2.0,0.11,0.11,0.04,73.5
C-302,Piso 3,rectangular,0.45,0.55,2.8,1050.0,210,0.02,0.2475,0.693,5.6,156.4,375.33,524.07,0.25,0.35,0.014,0.0875,0.245,3.36,38.71,137.49,155.42,1052.9,0.448,64.65,237.84,63.37,368.65,2.4,0.13,0.13,0.05,85.8
C-303,Piso 3,rectangular,0.4,0.4,2.8,550.0,210,0.015,0.16,0.448,4.48,75.83,226.95,293.3,0.25,0.25,0.01,0.0625,0.175,2.8,19.75,95.73,96.8,699.7,0.273,60.94,131.22,57.82,196.5,1.7,0.09,0.09,0.03,61.2
C-304,Piso 3,circular,0.5,0.5,2.8,700.0,210,0.018,0.1963,0.55,4.4,111.67,281.43,393.43,0.25,0.25,0.014,0.0491,0.137,2.2,21.71,82.94,87.19,724.1,0.413,75.09,198.49,70.53,306.24,1.3,0.07,0.07,0.03,48.0
